Source Account,Text,Date,Compound,Positive,Neutral,Negative,Tweets Ago
BBC,"RT @BBCSportWales: Are you brave enough to dive off a cliff? 

This teenager is - and he's about to make history 😲 https://t.co/8fOgNK7URM",Mon Sep 24 08:49:40 +0000 2018,0.7184,0.231,0.769,0.0,90
BBC,Mosquitoes are transferring plastics into the food chain. 👉 https://t.co/tjdOPX0zrn https://t.co/O4VxfryLpA,Mon Sep 24 08:02:05 +0000 2018,0.0,0.0,1.0,0.0,91
BBC,There are plans for scientists in Russia to attempt to bring woolly mammoths back from extinction. 🔬… https://t.co/31HyafKzgN,Mon Sep 24 07:31:07 +0000 2018,0.0,0.0,1.0,0.0,92
BBC,This is the most hardcore baptism you’ll ever see - a mum carrying her baby to a church up a near-vertical cliff fa… https://t.co/RXxvIRWdyS,Mon Sep 24 07:02:04 +0000 2018,0.0,0.0,1.0,0.0,93
BBC,"RT @BBCOne: 157 crew.
88 shoot days.
56 cast.
23 stunt performers.
6 episodes.
2 directors.
1 writer.
1 epic finale. 

Thanks for watching…",Sun Sep 23 22:04:30 +0000 2018,0.128,0.124,0.773,0.103,94
BBC,"RT @BBCOne: Just David Budd, having the epitome of a VERY BAD DAY. #Bodyguard https://t.co/uuz9xTSusb",Sun Sep 23 20:32:23 +0000 2018,-0.7398,0.0,0.712,0.288,95
BBC,"Get ready to learn the truth.

Don’t miss the epic finale of #Bodyguard. Tonight at 9pm on @BBCOne.

https://t.co/WBN1aXFHDl",Sun Sep 23 19:04:06 +0000 2018,0.4939,0.214,0.714,0.071,96
BBC,"🤔📆 Quiz: Can you guess which celebrity is the oldest? 

https://t.co/EVdI3SRIxf https://t.co/7hc2mzrx3B",Sun Sep 23 18:02:04 +0000 2018,0.0,0.0,1.0,0.0,97
BBC,"Falling leaves, dramatic skies, misty mornings... 🍂🌰🦊

7 signs that autumn is well and truly on its way. 👉… https://t.co/iNXWoE3zcW",Sun Sep 23 17:02:01 +0000 2018,0.5267,0.221,0.708,0.071,98
BBC,"'We're in love but never have sex'. 

https://t.co/IOgVh8eiFC https://t.co/dCLDcKhQ0Y",Sun Sep 23 16:04:03 +0000 2018,0.3818,0.245,0.755,0.0,99
BBC,"Sea dragons are so elegant 😍 #Oceans

https://t.co/yulAjV8D0S",Sun Sep 23 15:03:04 +0000 2018,0.8058,0.447,0.553,0.0,100
CBS,"On @colbertlateshow, @TheNeighborhood's @CedEntertainer and Stephen recall the first time they met on a night when… https://t.co/vjz1zVg4sR",Fri Sep 28 22:22:01 +0000 2018,0.0,0.0,1.0,0.0,1
CBS,".@happytogether's @wayansjr, @HereIsGina &amp; @latelateshow discuss the pros and cons of living with a pop star. Con:… https://t.co/PLXFxfheW7",Fri Sep 28 20:16:14 +0000 2018,0.0,0.0,1.0,0.0,2
CBS,"If you haven't seen @SEALTeamCBS, make it your mission to know them before the #SEALTeam Season 2 premiere October… https://t.co/NhCPI3lZSV",Fri Sep 28 17:52:41 +0000 2018,0.0,0.0,1.0,0.0,3
CBS,"⚡️ “Murphy Brown Returns to CBS”

https://t.co/3vsAg7WcB1",Fri Sep 28 16:51:50 +0000 2018,0.0,0.0,1.0,0.0,4
CBS,.@TheNeighborhood's @iamgreenfield revealing his Fiddler on the Roof goals on @latelateshow will be the earworm you… https://t.co/swbh8HPwA1,Thu Sep 27 20:19:18 +0000 2018,0.0,0.0,1.0,0.0,5
CBS,RT @MurphyBrownCBS: A moment 20 years in the making all comes down to this. #MurphyBrown returns to @CBS tonight! https://t.co/tWSMFM3YbG,Thu Sep 27 20:01:53 +0000 2018,0.0,0.0,1.0,0.0,6
CBS,"Candice Bergen tells @colbertlateshow the presidential way tonight's @MurphyBrownCBS premiere imitates life, albeit… https://t.co/4Kbk8gt6nS",Thu Sep 27 17:19:16 +0000 2018,0.0,0.0,1.0,0.0,7
CBS,@marlagardner222 @jay_hernandez Good idea. The theme song is a dead giveaway. 😉,Thu Sep 27 16:58:08 +0000 2018,-0.34,0.169,0.581,0.25,8
CBS,@queenmama7777 @CBSAllAccess We believe in you! https://t.co/ZK0xaPRxVr,Thu Sep 27 00:44:13 +0000 2018,0.0,0.0,1.0,0.0,9
CBS,@BSkyjackcity @jokersupdates @CBSAllAccess On it. https://t.co/yxKX9ry7fw,Thu Sep 27 00:42:15 +0000 2018,0.0,0.0,1.0,0.0,10
CBS,Sixteen houseguests entered and now it's down to the Final 3. Don't miss a second of the 90-minute #BB20Finale toni… https://t.co/KwDHR9Hfqu,Wed Sep 26 21:49:27 +0000 2018,0.1139,0.071,0.929,0.0,11
CBS,"The tribe has spoken, and they do a pretty decent @JeffProbst impression just in time for the @survivorcbs Season P… https://t.co/2Ps8VKblay",Wed Sep 26 19:57:54 +0000 2018,0.6249,0.221,0.779,0.0,12
CBS,"⚡️ “FBI Premieres on CBS”

https://t.co/faL6iHZc5g",Wed Sep 26 17:25:43 +0000 2018,0.0,0.0,1.0,0.0,13
